ISO3,FF_NAME,FIX_START
ARS,Arsenal,Arsenal
AVL,Aston Villa,Aston Villa
BOU,Bournemouth,A.F.C. Bournemouth
BHA,Brighton,Brighton
BUR,Burnley,Burnley
CHE,Chelsea,Chelsea
CRY,Crystal Palace,Crystal Palace
EVE,Everton,Everton
LEI,Leicester,Leicester City
LIV,Liverpool,Liverpool
MCI,Man City,Manchester City
MUN,Man Utd,Manchester United
NEW,Newcastle,Newcastle United
NOR,Norwich,Norwich City
SHU,Sheffield United,Sheffield United
SOU,Southampton,Southampton
TOT,Spurs,Tottenham Hotspur
WAT,Watford,Watford
WHU,West Ham,West Ham United
WOL,Wolves,Wolverhampton
